Sierra Leone,獅子山,橙色警示-避免非必要旅行,3
Singapore,新加坡,灰色警示-提醒注意,1
Slovakia,斯洛伐克,灰色警示-提醒注意,1
Slovenia,斯洛維尼亞,灰色警示-提醒注意,1
Solomon Islands,索羅門群島,灰色警示-提醒注意,1
Somalia,索馬利亞,紅色警示-不宜前往，宜儘速離境,4
South Africa,南非,橙色警示-避免非必要旅行,3
Spain,西班牙,灰色警示-提醒注意,1
Sri Lanka,斯里蘭卡,黃色警示-特別注意旅遊安全並檢討應否前往,2
Sudan,蘇丹,紅色警示-不宜前往，宜儘速離境,4
Suriname,蘇利南,灰色警示-提醒注意,1
Swaziland,史瓦濟蘭,灰色警示-提醒注意,1
Sweden,瑞典,灰色警示-提醒注意,1
Switzerland,瑞士,灰色警示-提醒注意,1
Syria,敘利亞,紅色警示-不宜前往，宜儘速離境,4
Thailand,泰國,橙色警示-避免非必要旅行,3
Togo,多哥,黃色警示-特別注意旅遊安全並檢討應否前往,2
Trinidad and Tobago,千里達及托巴哥,黃色警示-特別注意旅遊安全並檢討應否前往,2
Tunisia,突尼西亞,黃色警示-特別注意旅遊安全並檢討應否前往,2
Turkey,土耳其,黃色警示-特別注意旅遊安全並檢討應否前往,2
Uganda,烏干達,黃色警示-特別注意旅遊安全並檢討應否前往,2
Ukraine,烏克蘭,紅色警示-不宜前往，宜儘速離境,4
United Arab Emirates,阿拉伯聯合大公國,灰色警示-提醒注意,1
United States of America,美國,灰色警示-提醒注意,1
Uruguay,烏拉圭,目前安全,0
Venezuela,委內瑞拉,橙色警示-避免非必要旅行,3
Vietnam,越南,灰色警示-提醒注意,1
 Samoa,薩摩亞,黃色警示-特別注意旅遊安全並檢討應否前往,2
Yemen,葉門,紅色警示-不宜前往，宜儘速離境,4
Yugoslavia,南斯拉夫,目前安全,0
Zambia,尚比亞,黃色警示-特別注意旅遊安全並檢討應否前往,2
Zimbabwe,辛巴威,黃色警示-特別注意旅遊安全並檢討應否前往,2
Cuba,古巴共和國,灰色警示-提醒注意,1
Ethiopia,衣索比亞,橙色警示-避免非必要旅行,3
French Guiana,法屬圭亞那,灰色警示-提醒注意,1
Curacao,古拉索,灰色警示-提醒注意,1
Aruba,阿魯巴,灰色警示-提醒注意,1
 Kiribati,吉里巴斯,灰色警示-提醒注意,1
Marshall Islands,馬紹爾群島,灰色警示-提醒注意,1
Afghanistan,阿富汗,紅色警示-不宜前往，宜儘速離境,4
Iran,伊朗,紅色警示-不宜前往，宜儘速離境,4
Uzbekistan,烏茲別克共和國,灰色警示-提醒注意,1
Comoros,葛摩聯盟,灰色警示-提醒注意,1
Liberia,賴比瑞亞,橙色警示-避免非必要旅行,3
Libya,利比亞,紅色警示-不宜前往，宜儘速離境,4
Mayotte,馬約特島,灰色警示-提醒注意,1
Mozambique,莫三比克,灰色警示-提醒注意,1
Reunion,留尼旺,灰色警示-提醒注意,1
The Gambia,甘比亞,黃色警示-特別注意旅遊安全並檢討應否前往,2
Andorra,安道爾侯國,灰色警示-提醒注意,1
Kosovo,科索沃,灰色警示-提醒注意,1
Latvia,拉脫維亞,灰色警示-提醒注意,1
Liechtenstein,列支敦斯登,灰色警示-提醒注意,1
Lithuania,立陶宛,灰色警示-提醒注意,1
Monaco,摩納哥,灰色警示-提醒注意,1
Montenegro,蒙特內哥羅,灰色警示-提醒注意,1
Nicaragua,尼加拉瓜共和國,灰色警示-提醒注意,1
Timor Leste,東帝汶,橙色警示-避免非必要旅行,3
Vanuatu,萬那杜共和國,黃色警示-特別注意旅遊安全並檢討應否前往,2
Kyrgyzstan,吉爾吉斯,灰色警示-提醒注意,1
Lebanon,黎巴嫩,橙色警示-避免非必要旅行,3
Tajikistan,塔吉克,灰色警示-提醒注意,1
Djibouti,吉布地,黃色警示-特別注意旅遊安全並檢討應否前往,2
Lesotho,賴索托,黃色警示-特別注意旅遊安全並檢討應否前往,2
West Bank,約旦河西岸,目前安全,0
United Republic of Tanzania,坦尚尼亞,黃色警示-特別注意旅遊安全並檢討應否前往,2
Turkmenistan,土庫曼,目前安全,0
Republic of Serbia,塞爾維亞,灰色警示-提醒注意,1
El Salvador,薩爾瓦多,黃色警示-特別注意旅遊安全並檢討應否前往,2
South Sudan,南蘇丹,紅色警示-不宜前往，宜儘速離境,4
Western Sahara,西撒哈拉,目前安全,0
Puerto Rico,波多黎各,目前安全,0
Kazakhstan,哈薩克,目前安全,0
Greenland,格陵蘭,目前安全,0
Equatorial Guinea,赤道幾內亞,黃色警示-特別注意旅遊安全並檢討應否前往,2
Guinea Bissau,幾內亞比索,橙色警示-避免非必要旅行,3
Falkland Islands,福克蘭群島,目前安全,0
Democratic Republic of the Congo,剛果民主共和國,目前安全,0
The Bahamas,巴哈馬,目前安全,0
Somaliland,索馬里蘭,目前安全,0
